WEEK,SALE_PERIOD,TOTAL_$,SalesCustomerTypeName,PRODUCT_CATEGORY,UNIT_OF_MEASURE,TOTAL_UNITS
CURRENT WEEK,2022-12-13,837.09,Consumer,Concentrate (Bulk),Grams,21
CURRENT WEEK,2022-12-17,774049.42,Consumer,Raw Pre-Rolls,Grams,45681
CURRENT WEEK,2018-11-20 -2022-12-11,1669467057.61,Consumer,Buds,Grams,33753751
CURRENT WEEK,2022-12-12,13916.57,Consumer,Shake/Trim,Grams,343
CURRENT WEEK,2018-11-20 -2022-12-11,13189.45,Consumer,Suppository,Each,186
CURRENT WEEK,2018-11-20 -2022-12-11,-25,Consumer,Waste,Grams,6
CURRENT WEEK,2022-12-14,51002.28,Consumer,Shake/Trim (by strain),Grams,1224
CURRENT WEEK,2022-12-16,233606.34,Consumer,Concentrate (Each),Each,5254
CURRENT WEEK,2022-12-14,42258.02,Consumer,Infused Pre-Rolls,Grams,1620
CURRENT WEEK,2018-11-20 -2022-12-11,566012827.39,Consumer,Infused (edible),Each,18044390
CURRENT WEEK,2022-12-17,1164,Consumer,Immature Plants,Each,25
CURRENT WEEK,2018-11-20 -2022-12-11,12639.99,Consumer,Kief,Milligrams,381
CURRENT WEEK,2022-12-13,55,Consumer,Concentrate,Milligrams,1
CURRENT WEEK,2018-11-20 -2022-12-11,26035643.91,Consumer,Infused Pre-Rolls,Grams,871883
CURRENT WEEK,2022-12-15,651156.61,Consumer,Infused (edible),Each,24550
CURRENT WEEK,2022-12-12,380.79,Consumer,Concentrate,Milligrams,7
CURRENT WEEK,2022-12-12,496186.77,Consumer,Raw Pre-Rolls,Grams,30436
CURRENT WEEK,2018-11-20 -2022-12-11,57675.81,Consumer,Infused Pre-Rolls,Milligrams,1849
CURRENT WEEK,2022-12-16,1857595.68,Consumer,Buds,Grams,43712
CURRENT WEEK,2018-11-20 -2022-12-11,8279.74,Consumer,Kief,Each,292
CURRENT WEEK,2018-11-20 -2022-12-11,148892.77,Consumer,Immature Plants,Each,4267
CURRENT WEEK,2018-11-20 -2022-12-11,3792107.6,Consumer,Shake/Trim,Grams,81984
CURRENT WEEK,2022-12-16,13667.22,Consumer,Concentrate,Grams,334
CURRENT WEEK,2022-12-14,10910.32,Consumer,Concentrate,Grams,256
CURRENT WEEK,2022-12-16,59656.57,Consumer,Infused Pre-Rolls,Grams,2306
CURRENT WEEK,2022-12-16,1176,Consumer,Immature Plants,Each,32
CURRENT WEEK,2022-12-14,199536.69,Consumer,Concentrate (Each),Each,4381
CURRENT WEEK,2022-12-17,66536.54,Consumer,Infused Pre-Rolls,Grams,2446
CURRENT WEEK,2022-12-15,222893.37,Consumer,Concentrate (Each),Each,4809
CURRENT WEEK,2022-12-15,9048.83,Consumer,Infused (non-edible),Each,200
CURRENT WEEK,2018-11-20 -2022-12-11,486378799.36,Consumer,Raw Pre-Rolls,Grams,24621131
