SoldDate,AverageRetailPriceOz,AverageRetailPrice
12/2/2020,402.85,14.21
1/4/2019,404.26,14.26
1/21/2022,353.23,12.46
11/4/2022,231.9,8.18
6/19/2021,400.29,14.12
5/19/2019,409.08,14.43
9/23/2021,378.75,13.36
1/25/2020,419.01,14.78
5/18/2019,407.1,14.36
1/5/2021,399.73,14.1
10/2/2020,409.08,14.43
3/9/2020,411.92,14.53
3/6/2019,410.78,14.49
7/30/2021,388.96,13.72
9/11/2020,406.53,14.34
3/15/2019,411.92,14.53
8/23/2021,387.82,13.68
8/5/2021,390.09,13.76
11/16/2021,379.03,13.37
12/8/2022,223.11,7.87
7/27/2021,395.76,13.96
10/17/2021,385.27,13.59
9/24/2021,380.73,13.43
4/19/2022,302.21,10.66
4/26/2019,411.63,14.52
4/26/2021,396.89,14
12/19/2019,414.47,14.62
6/26/2019,401.43,14.16
2/17/2020,412.77,14.56
11/30/2020,403.41,14.23
8/26/2020,408.8,14.42
2/4/2021,403.98,14.25
2/1/2021,402.28,14.19
4/15/2022,316.66,11.17
11/22/2020,407.38,14.37
7/8/2020,406.53,14.34
5/1/2019,409.08,14.43
12/15/2018,401.71,14.17
8/4/2019,404.83,14.28
11/17/2021,375.91,13.26
1/11/2021,400.86,14.14
3/16/2022,335.66,11.84
9/21/2019,403.98,14.25
9/15/2019,407.67,14.38
1/22/2020,415.32,14.65
7/18/2020,409.08,14.43
2/6/2020,409.93,14.46
12/6/2021,371.38,13.1
10/3/2021,386.4,13.63
1/18/2019,415.6,14.66
8/25/2020,410.5,14.48
4/25/2021,399.44,14.09
5/25/2019,408.52,14.41
2/4/2019,408.23,14.4
1/23/2022,362.02,12.77
4/18/2021,387.82,13.68
3/28/2019,411.35,14.51
12/26/2020,400.58,14.13
1/14/2021,403.41,14.23
8/28/2021,396.04,13.97
12/3/2019,412.2,14.54
9/23/2022,254.01,8.96
3/20/2019,411.92,14.53
9/7/2021,389.24,13.73
6/13/2020,402.85,14.21
3/18/2020,409.65,14.45
2/9/2022,356.92,12.59
12/9/2019,409.65,14.45
6/8/2020,404.55,14.27
6/22/2022,296.82,10.47
10/31/2019,416.74,14.7
3/28/2022,335.66,11.84
10/22/2021,377.33,13.31
8/31/2020,404.55,14.27
9/28/2020,406.25,14.33
6/22/2019,409.08,14.43
6/23/2021,392.64,13.85
10/17/2022,246.64,8.7
1/15/2021,405.4,14.3
9/9/2022,255.43,9.01
8/10/2022,276.97,9.77
7/9/2021,390.09,13.76
9/25/2019,412.77,14.56
7/13/2019,407.1,14.36
5/8/2022,318.08,11.22
3/31/2022,330.56,11.66
1/27/2020,417.59,14.73
8/20/2021,390.37,13.77
8/19/2019,392.36,13.84
3/6/2020,405.4,14.3
10/6/2022,247.21,8.72
6/9/2022,300.5,10.6
12/9/2021,367.41,12.96
2/12/2022,353.8,12.48
8/17/2022,275.56,9.72
10/14/2021,376.2,13.27
1/17/2021,403.41,14.23
4/20/2020,324.03,11.43
12/27/2019,416.45,14.69
4/6/2021,400.29,14.12
2/15/2019,408.8,14.42
11/24/2021,363.72,12.83
3/24/2019,411.35,14.51
12/6/2018,396.04,13.97
6/30/2019,409.08,14.43
4/12/2019,413.34,14.58
12/18/2018,400.58,14.13
4/1/2019,413.34,14.58
1/22/2021,405.11,14.29
2/8/2021,403.7,14.24
9/27/2019,405.68,14.31
3/14/2019,412.77,14.56
11/22/2019,413.34,14.58
11/27/2021,373.65,13.18
6/20/2021,398.03,14.04
8/20/2022,279.24,9.85
4/15/2019,411.35,14.51
8/28/2022,270.17,9.53
3/8/2021,402.56,14.2
8/15/2022,284.35,10.03
11/12/2021,379.6,13.39
4/4/2021,402.85,14.21
10/2/2019,415.32,14.65
9/17/2019,404.55,14.27
7/3/2021,390.66,13.78
5/28/2022,303.34,10.7
6/25/2022,297.95,10.51
2/29/2020,408.52,14.41
10/14/2022,199.3,7.03
7/8/2022,287.46,10.14
7/21/2021,397.46,14.02
12/21/2019,413.9,14.6
10/9/2022,255.15,9
8/22/2020,410.78,14.49
9/2/2019,400.86,14.14
11/10/2022,237.29,8.37
11/21/2020,406.53,14.34
12/29/2020,397.74,14.03
3/30/2021,403.7,14.24
