PlantVegetativeCount,PlantTrackedCount,PlantBatchCount,PlantImmatureCount,EmployeeCount,HarvestActiveCount,ProductActiveCount,PlantDestroyedCount,PlantFloweringCount,ActivitySummaryDate,PlantHarvestedCount,StrainActiveCount,PackageActiveCount
141867,405304,5385,228016,12886,2081,277760,562182,263437,8/10/2022,2115336,69495,286406
107390,252052,4726,146114,11932,1474,257476,461842,144662,4/29/2022,1802236,59134,255806
116786,300493,5649,362402,12563,1739,261387,510819,183707,6/21/2022,1927755,63627,264811
105865,350186,5123,228766,13029,2221,289841,599933,244321,9/18/2022,2278941,73960,297696
105189,246287,3938,150907,11846,1478,255933,454121,141098,4/22/2022,1785099,58169,251738
139147,397854,5438,299731,12782,1875,269426,540147,258707,7/20/2022,2003700,67716,274549
129490,372674,5492,235738,12891,2161,281383,573796,243184,8/20/2022,2174410,70889,289012
92363,238540,4132,133712,11272,1394,248484,430518,146177,3/22/2022,1706314,54946,232786
116450,353913,5111,225665,13012,2162,285430,592468,237463,9/8/2022,2250383,73414,294321
101875,242531,3671,136226,11495,1442,253032,443674,140656,4/8/2022,1751406,56474,246630
13688,37464,261,13944,1443,109,14421,6181,23776,3/18/2019,20486,2829,8597
7792,15457,268,8792,351,3,6666,70,7665,12/19/2018,459,1098,2596
7545,15319,102,3254,440,54,7119,1232,7774,1/2/2019,3207,1285,3815
24226,68420,530,27045,1830,302,25479,9363,44194,4/17/2019,34750,3599,16574
109665,274295,6043,365169,12374,1565,255207,488313,164630,5/27/2022,1863680,61514,262790
102940,314991,4189,191156,13612,2560,287834,639756,212051,10/25/2022,2421798,77286,318803
100489,242247,3662,137499,11496,1433,253097,443822,141758,4/10/2022,1752187,56483,243283
135806,403565,5217,270251,12777,1935,270132,543546,267759,7/24/2022,2016320,67897,275442
119122,301039,6144,370802,12575,1754,261944,512326,181917,6/22/2022,1930314,63714,264403
105894,350629,5121,226847,13030,2220,289796,599378,244735,9/17/2022,2278514,73959,299298
122071,242968,3065,119054,8434,1280,157159,234931,120897,6/9/2021,977665,30874,133290
39950,94580,763,44466,3694,507,59059,74159,54630,1/1/2020,260556,9807,41405
36835,91239,681,29273,2700,509,38265,33067,54404,8/3/2019,118686,6244,30418
74125,214454,3579,126838,10590,1698,217635,377879,140329,1/1/2022,1527454,47983,209679
111753,250912,3303,117683,8718,1275,163169,265513,139159,7/16/2021,1050632,34049,150867
65246,129061,1733,74945,4890,791,74698,134761,63815,7/25/2020,509583,14044,74578
55788,143339,1704,74759,6252,1046,121957,172490,87551,12/22/2020,708437,19911,114526
44969,111280,1254,63881,4254,566,61711,91545,66311,2/25/2020,312174,11217,57511
37191,82735,613,34020,2263,450,32907,22234,45544,6/27/2019,90056,5505,26961
51884,118360,1921,89541,4329,823,68162,117941,66476,5/26/2020,421914,12668,57208
81415,217215,3346,124247,10670,1466,227768,389239,135800,1/20/2022,1574112,48928,217296
66441,168787,2104,90816,6969,1155,135172,188678,102346,2/20/2021,794119,22467,104768
34524,96414,683,24534,3161,559,44940,50607,61890,10/10/2019,179048,7546,39151
53432,131317,2011,79704,5266,761,84036,143900,77885,9/8/2020,561079,15491,73386
58807,148140,1518,67743,6108,1073,111004,165682,89333,11/25/2020,670071,18784,103249
86694,226443,3170,120382,10922,2067,205316,341665,139749,10/25/2021,1370521,46124,176971
14551,37583,225,13615,1437,91,13672,6055,23032,3/13/2019,18639,2693,7920
