license_number,business_name,dba_name,dba_registration_city,establishment_address_1,establishment_address_2,establishment_city,establishment_state,establishment_zipcode,latitude,longitude,county,county_lat,county_long,business_address_1,business_address_2,business_city,business_state,business_zipcode,geocoded_county,geocoded_address,mailing_address_1,mailing_address_2,mailing_city,mailing_state,mailing_zipcode,license_type,application_status,lic_status,approved_license_type,priority_applicant_type,cultivation_environment,cultivation_tier,establishment_activities,establishment_cultivation_environment,square_footage_establishment,APPLICATION_CREATED_DATE,CNB_DEEMED_COMPLETE_DATE,APPLICATION_APPROVED_DATE,CNB_DATE_OF_FINAL_LICENSURE-1,LIC_START_DATE,LIC_EXPIRATION_DATE,COMMENCE_OPERATIONS_DATE,CCCUpdateDate
MC283511,620 Industries Inc.,,,620 Beaulieau Street,,Holyoke,MA,01040,42.192801,-72.61631,Hampden,42.12756,-72.571312,620 Beaulieau St,,Holyoke,MA,01040,POINT (-72.571312 42.12756),POINT (-72.616309 42.1928010),620 Beaulieau St,,Holyoke,MA,01040,Marijuana Cultivator,APPROVED,COMPLETE,PROVISIONAL LICENSE,General Applicant,Indoor,"Tier 01: up to 5,000 square feet",,,5500,5/11/2021,8/13/2021,10/14/2021,,10/13/2022,11/12/2023,,12/19/2022
MR284694,Beacon Compassion Inc.,UpTop,Framingham,315 Worcester Road,,Framingham,MA,01701,42.298549,-71.40782,Middlesex,42.459085,-71.275566,315 Worcester Road,,Framingham,MA,01701,POINT (-71.275566 42.459085),POINT (-71.407820 42.2985490),12 Post Office Square,6th Floor,Boston,MA,02109,Marijuana Retailer,APPROVED,COMPLETE,PROVISIONAL LICENSE,RMD Priority,,,,,3000,6/13/2022,8/5/2022,10/13/2022,,10/19/2022,10/19/2023,,12/19/2022
MR284569,Beacon Compassion Inc.,UpTop,Boston,1524 VFW Parkway,,Boston,MA,02132,42.268227,-71.170309,Suffolk,42.334948,-71.073493,1524 VFW Parkway,,West Roxbury,MA,02132,POINT (-71.073493 42.334948),POINT (-71.170309 42.2682270),12 Post Office Square,6th Floor,Boston,MA,02109,Marijuana Retailer,APPROVED,COMPLETE,FINAL LICENSE,General Applicant,,,,,3000,1/22/2022,4/8/2022,5/12/2022,11/10/2022,5/18/2022,5/18/2023,,12/19/2022
MR282271,Beacon Compassion Inc.,UpTop,New Bedford,366 Hathaway Road,,New Bedford,MA,02740,41.656615,-70.954327,Bristol,41.778329,-71.102131,366 Hathaway Road,,New Bedford,MA,02740,POINT (-71.102131 41.778329),POINT (-70.954327 41.6566150),12 Post Office Square,6th Floor,Boston,MA,02109,Marijuana Retailer,APPROVED,COMPLETE,PROVISIONAL LICENSE,RMD Priority,,,,,2088,1/9/2019,12/10/2021,4/7/2022,,4/25/2022,4/25/2023,,12/19/2022
MP281517,Beacon Compassion Inc.,UpTop,,30 Franklin R McKay Road,,Attleboro,MA,02703,41.919957,-71.319582,Bristol,41.778329,-71.102131,900 Washington Street,Ste A,Norwood,MA,02062,POINT (-71.102131 41.778329),POINT (-71.319581 41.9199569),900 Washington Street,Ste A,Norwood,MA,02062,Marijuana Product Manufacturer,APPROVED,COMPLETE,PROVISIONAL LICENSE,RMD Priority,,,,,88000,10/18/2018,12/10/2018,2/21/2019,,4/7/2022,4/26/2023,,12/19/2022
MC281378,Beacon Compassion Inc.,UpTop,,30 Franklin R McKay Road,,Attleboro,MA,02703,41.919957,-71.319582,Bristol,41.778329,-71.102131,900 Washington Street,Ste A,Norwood,MA,02062,POINT (-71.102131 41.778329),POINT (-71.319581 41.9199569),900 Washington St,Ste A,Norwood,MA,02062,Marijuana Cultivator,APPROVED,COMPLETE,PROVISIONAL LICENSE,RMD Priority,Indoor,"Tier 04: 20,001 to 30,000 sq. ft",,,88000,5/3/2018,12/10/2018,2/21/2019,,4/7/2022,4/26/2023,,12/19/2022
MC283505,"CanGrow, LLC",,,"Lot 4, Quabbin Boulevard, Randall Pond Industrial Park",Parcel 129-6,Orange,MA,01364,42.569037,-72.302276,Franklin,42.587072,-72.573941,150 John Vertente Blvd,,New Bedford,MA,02745,POINT (-72.573941 42.587072),POINT (-72.302276 42.5690370),150 John Vertente Blvd,,New Bedford,MA,02745,Marijuana Cultivator,APPROVED,COMPLETE,PROVISIONAL LICENSE,General Applicant,Outdoor,"Tier 07: 50,001 to 60,000 sq. ft",,,65000,5/3/2021,9/3/2021,11/18/2021,,3/7/2022,3/7/2023,,12/19/2022
MR282206,"Coastal Healing, Inc.",Coastal Healing,Westport,248 State Road,,Westport,MA,02790,41.673413,-71.103763,Bristol,41.778329,-71.102131,248 State Road,,Westport,MA,02790,POINT (-71.102131 41.778329),POINT (-71.103763 41.6734129),1942 Crandall Road,,Tiverton,RI,02878,Marijuana Retailer,APPROVED,COMPLETE,FINAL LICENSE,RMD Priority,,,,,14000,12/19/2018,11/15/2021,2/14/2022,10/13/2022,2/23/2022,2/23/2023,12/2/2022,12/19/2022
MP282156,"Coastal Healing, Inc.",Coastal Healing,Westport,248 State Road,,Westport,MA,02790,41.673413,-71.103763,Bristol,41.778329,-71.102131,248 State Road,,Westport,MA,02790,POINT (-71.102131 41.778329),POINT (-71.103763 41.6734129),1942 Crandall road,,tiverton,RI,02878,Marijuana Product Manufacturer,APPROVED,PAYMENT_PENDING,PROVISIONAL CONSIDERATION,General Applicant,,,,,14000,12/3/2021,2/7/2022,3/10/2022,,,,,12/19/2022
MC282761,"Coastal Healing, Inc.",Coastal Healing,Westport,248 State Road,,Westport,MA,02790,41.673413,-71.103763,Bristol,41.778329,-71.102131,248 State road,,Westport,MA,02970,POINT (-71.102131 41.778329),POINT (-71.103763 41.6734129),1942 crandall road,,tiverton,RI,02878,Marijuana Cultivator,APPROVED,COMPLETE,FINAL LICENSE,RMD Priority,Indoor,"Tier 03: 10,001 to 20,000 sq. ft",,,14000,4/22/2020,12/10/2021,3/10/2022,10/13/2022,3/23/2022,3/23/2023,,12/19/2022
