license_number,business_name,dba_name,dba_registration_city,establishment_address_1,establishment_address_2,establishment_city,establishment_state,establishment_zipcode,latitude,longitude,county,county_lat,county_long,business_address_1,business_address_2,business_city,business_state,business_zipcode,geocoded_county,geocoded_address,mailing_address_1,mailing_address_2,mailing_city,mailing_state,mailing_zipcode,license_type,application_status,lic_status,approved_license_type,priority_applicant_type,cultivation_environment,cultivation_tier,establishment_activities,establishment_cultivation_environment,square_footage_establishment,APPLICATION_CREATED_DATE,CNB_DEEMED_COMPLETE_DATE,APPLICATION_APPROVED_DATE,CNB_DATE_OF_FINAL_LICENSURE-1,LIC_START_DATE,LIC_EXPIRATION_DATE,CCCUpdateDate
MC283768,Fibonacci Farms LLC,,Not Applicable,446 Country Club Road,Suite B,Greenfield,MA,01301,42.62839,-72.591899,Franklin,42.587072,-72.573941,82 Wendell Ave.,Suite 100,Pittsfield,MA,01201,POINT (-72.573941 42.587072),POINT (-72.591898 42.6283900),446 Country Club Road,Suite B,Greenfield,MA,01301,Marijuana Cultivator,PENDING,INCOMPLETE,IN PROCESS,General Applicant,Outdoor,"Tier 11: 90,001 to 100,000 sq. ft",,,150000,7/25/2022,11/8/2022,,,,,12/19/2022
MC283298,Apotho Therapeutics Dartmouth INC,Apotho Therapeutics,Dartmouth,757 state road,,Dartmouth,MA,02747,41.637787,-71.029598,Bristol,41.778329,-71.102131,71 Raymond Drive,,Seekonk,MA,02771,POINT (-71.102131 41.778329),POINT (-71.029597 41.6377870),71 Raymond Drive,,Seekonk,MA,02771,Marijuana Cultivator,PENDING,INCOMPLETE,IN PROCESS,General Applicant,Indoor,"Tier 02: 5,001 to 10,000 sq. ft.",,,40070,1/12/2021,11/16/2022,,,,,12/19/2022
MR283521,Apotho Therapeutics Dartmouth INC,Apotho Therapeutics,Dartmouth,747 State Road,,Dartmouth,MA,02747,41.639015,-71.02915,Bristol,41.778329,-71.102131,747 State Road,,Dartmouth,MA,02747,POINT (-71.102131 41.778329),POINT (-71.029150 41.6390150),71 Raymond Drive,,Seekonk,MA,02771,Marijuana Retailer,PENDING,INCOMPLETE,IN PROCESS,General Applicant,,,,,4680,5/12/2020,11/16/2022,,,,,12/19/2022
MR284652,"Kur Retailers, LLC",,,461 Boston Road / SS Boston Road,,Springfield,MA,01109,42.130823,-72.526484,Hampden,42.12756,-72.571312,46 Moore St,,E. Longmeadow,MA,01028,POINT (-72.571312 42.12756),POINT (-72.526483 42.1308229),2611 Woodruff Rd,,Spokane,WA,99206,Marijuana Retailer,PENDING,INCOMPLETE,IN PROCESS,General Applicant,,,,,3000,5/6/2022,11/17/2022,,,,,12/19/2022
MR284729,"BeWell Organic Medicine, Inc.",,,17 Broad Street,,Merrimac,MA,01860,42.83121,-70.996686,Essex,42.635475,-70.970827,92 Bolt Street,,Lowell,MA,01852,POINT (-70.970827 42.635475),POINT (-70.996685 42.8312099),92 Bolt Street,,Lowell,MA,01852,Marijuana Retailer,PENDING,INCOMPLETE,IN PROCESS,General Applicant,,,,,3170,7/26/2022,12/16/2022,,,,,12/19/2022
MR284210,"Sanctuary Medicinals, Inc.",,,130 Commerce Way,,Woburn,MA,01801,42.51821,-71.13938,Middlesex,42.459085,-71.275566,130 Commerce Way,,Woburn,MA,01801,POINT (-71.275566 42.459085),POINT (-71.139380 42.5182100),234 Taylor Street,,Littleton,MA,01460,Marijuana Retailer,PENDING,INCOMPLETE,IN PROCESS,RMD Priority,,,,,3850,4/4/2021,12/2/2022,,,,,12/19/2022
MC283688,Wicked Cultivation LLC,,,15 Charlotte Court,,Middleborough,MA,02346,41.855713,-70.865049,Plymouth,41.978877,-70.818958,15 Charlotte Court,Units A-L,Middleborough,MA,02346,POINT (-70.818958 41.978877),POINT (-70.865048 41.8557130),622 Andover Street,,Lawrence,MA,01843,Marijuana Cultivator,PENDING,INCOMPLETE,IN PROCESS,General Applicant,Indoor,"Tier 03: 10,001 to 20,000 sq. ft",,,19845,1/26/2022,11/15/2022,,,,,12/19/2022
MR282585,"Health Circle, Inc.",,Rockland,120 Enterprise Drive,,Marshfield,MA,02050,42.102829,-70.748508,Plymouth,41.978877,-70.818958,21 Commerce Road,,Rockland,MA,02370,POINT (-70.818958 41.978877),POINT (-70.748508 42.102829),21 Commerce Rd,,Rockland,MA,02370,Marijuana Retailer,PENDING,INCOMPLETE,IN PROCESS,RMD Priority,,,,,13680,4/8/2019,11/21/2022,,,,,12/19/2022
MR284346,"House of Ermias, LLC",House of Ermias LLC,Chelsea,267 Broadway,,Chelsea,MA,02150,42.390772,-71.037292,Suffolk,42.334948,-71.073493,267 Broadway,,Chelsea,MA,02150,POINT (-71.073493 42.334948),POINT (-71.037291 42.3907719),267 Broadway,,Chelsea,MA,02150,Marijuana Retailer,PENDING,INCOMPLETE,IN PROCESS,General Applicant,,,,,5000,7/28/2021,11/15/2022,,,,,12/19/2022
MP281783,"Tower Three, LLC",,,30 Sherwood Street,,Taunton,MA,02780,41.896308,-71.085898,Bristol,41.778329,-71.102131,341 Savin Hill Ave,,Boston,MA,02125,POINT (-71.102131 41.778329),POINT (-71.085898 41.8963079),341 Savin Hill Ave,,Boston,MA,02125,Marijuana Product Manufacturer,PENDING,INCOMPLETE,IN PROCESS,General Applicant,,,,,14000,11/4/2019,12/9/2022,,,,,12/19/2022
