SaleDate,ProductCategoryName,UnitOfMeasureName,Units,TotalPrice,CountBasedTotal,DollarCountBasedTotal,WeightBasedTotal,DollarWeightBasedTotal,Quantity
4/19/2022,Buds,Pounds,2,137.71,0,0,0.02,137.71,0.02
6/2/2019,Buds,Each,5,1.26,5,1.26,0,0,5
3/4/2022,Shake/Trim (by strain),Grams,1155,44636.95,0,0,6675.3,44636.95,6675.3
10/4/2020,Buds,Grams,22671,1164142.2,0,0,80697.61,1164142.2,80697.61
4/8/2021,Infused Pre-Rolls,Grams,463,12843.9,0,0,540.94,12843.9,540.94
1/7/2022,Buds,Pounds,6,390,0,0,0.06,390,0.06
4/18/2022,Infused Pre-Rolls,Grams,1189,38619.64,0,0,1392.87,38619.64,1392.87
7/21/2022,Concentrate,Grams,106,4941.16,0,0,101.71,4941.16,101.71
7/26/2019,Infused (edible),Each,6391,244040.02,9179,244040.02,0,0,9179
7/28/2020,Infused (edible),Each,7660,288618.64,10352,288618.64,0,0,10352
7/13/2022,Concentrate,Grams,70,3046.72,0,0,73.5,3046.72,73.5
2/17/2021,Buds,Grams,24704,1358203.56,0,0,95632.11,1358203.56,95632.11
5/26/2020,Kief,Grams,127,3441.52,0,0,136,3441.52,136
4/2/2022,Infused (non-edible),Each,452,23406,554,23406,0,0,554
6/22/2021,Kief,Grams,105,3245.92,0,0,120.43,3245.92,120.43
10/10/2021,Concentrate (Each),Each,4412,256913.36,4921,256913.36,0,0,4921
6/8/2020,Vape Product,Each,4025,279940.41,4785,279940.41,0,0,4785
5/15/2019,Infused (non-edible),Each,749,40110.62,852,40110.62,0,0,852
2/19/2021,Infused (non-edible),Each,376,14036.75,450,14036.75,0,0,450
10/30/2021,Shake/Trim,Grams,43,2906.94,0,0,437,2906.94,437
3/4/2021,Shake/Trim,Grams,27,1329.17,0,0,92,1329.17,92
5/16/2021,Infused Beverage,Each,2168,32223.42,3718,32223.42,0,0,3718
8/4/2021,Infused Beverage,Each,2091,32811.94,3985,32811.94,0,0,3985
6/21/2019,Shake/Trim (by strain),Grams,265,3944.56,0,0,264.1,3944.56,264.1
