SaleDate,ProductCategoryName,UnitOfMeasureName,Units,TotalPrice,CountBasedTotal,DollarCountBasedTotal,WeightBasedTotal,DollarWeightBasedTotal,Quantity
3/31/2021,Shake/Trim,Grams,18,1709.51,0,0,352,1709.51,352
3/1/2022,Infused Beverage,Each,332,5960.22,741,5960.22,0,0,741
7/15/2020,Vape Product,Each,2017,121579.99,2427,121579.99,0,0,2427
8/17/2022,Concentrate,Grams,77,3420.76,0,0,102.5,3420.76,102.5
10/23/2019,Infused (edible),Each,2007,89099.99,3225,89099.99,0,0,3225
6/2/2020,Kief,Grams,41,1210.97,0,0,69,1210.97,69
1/2/2022,Concentrate (Each),Each,987,46441.41,1230,46441.41,0,0,1230
1/22/2021,Infused Pre-Rolls,Grams,209,5431.62,0,0,290.95,5431.62,290.95
8/12/2021,Shake/Trim (by strain),Grams,297,10588.23,0,0,2360.05,10588.23,2360.05
12/15/2022,Kief,Grams,32,814.51,0,0,51,814.51,51
1/19/2020,Shake/Trim (by strain),Grams,126,2583.38,0,0,243.41,2583.38,243.41
5/18/2020,Infused (edible),Each,2669,112759.94,5480,112759.94,0,0,5480
5/11/2019,Buds,Each,49,2119.12,61,2119.12,0,0,61
6/26/2021,Infused Beverage,Each,589,10495.59,1481,10495.59,0,0,1481
5/22/2019,Buds,Each,41,2081.16,54,2081.16,0,0,54
6/6/2022,Concentrate,Grams,27,1385.34,0,0,37,1385.34,37
1/2/2021,Shake/Trim,Grams,27,2514.08,0,0,521,2514.08,521
6/10/2021,Infused Beverage,Each,559,8987.57,1274,8987.57,0,0,1274
8/29/2019,Concentrate (Each),Each,2904,165703.4,3646,165703.4,0,0,3646
9/29/2022,Infused (non-edible),Each,68,3406.66,111,3406.66,0,0,111
10/29/2022,Concentrate (Bulk),Grams,6,188.2,0,0,9,188.2,9
6/27/2020,Infused (edible),Each,2762,118983,4045,118983,0,0,4045
9/23/2021,Shake/Trim,Grams,17,2355.68,0,0,467.2,2355.68,467.2
11/16/2022,Infused Pre-Rolls,Grams,374,9627.9,0,0,517.61,9627.9,517.61
8/8/2020,Infused Pre-Rolls,Grams,214,7189.72,0,0,407.5,7189.72,407.5
6/13/2021,Kief,Grams,32,1025.31,0,0,60.27,1025.31,60.27
12/4/2021,Shake/Trim,Grams,13,764.38,0,0,133.8,764.38,133.8
5/4/2020,Vape Product,Each,1515,87766.75,1870,87766.75,0,0,1870
2/2/2021,Buds,Grams,5320,267188.78,0,0,25398.51,267188.78,25398.51
1/6/2021,Infused (non-edible),Each,132,5197,189,5197,0,0,189
10/5/2020,Buds,Grams,6285,331999.35,0,0,30332.37,331999.35,30332.37
6/21/2020,Infused (non-edible),Each,78,2980.73,101,2980.73,0,0,101
8/28/2019,Infused (edible),Each,1748,79232.45,2820,79232.45,0,0,2820
9/2/2020,Suppository,Each,1,60,1,60,0,0,1
4/27/2019,Concentrate (Each),Each,1488,91789.33,1803,91789.33,0,0,1803
6/13/2020,Kief,Grams,34,1324.08,0,0,79,1324.08,79
5/10/2022,Infused Beverage,Each,275,4875.93,555,4875.93,0,0,555
1/16/2019,Concentrate,Each,13,1220.46,15,1220.46,0,0,15
8/15/2022,Shake/Trim,Grams,16,787.47,0,0,182.6,787.47,182.6
9/28/2021,Concentrate (Bulk),Grams,2,65.71,0,0,2,65.71,2
3/19/2022,Concentrate (Each),Each,1379,64200.29,1741,64200.29,0,0,1741
2/1/2021,Concentrate,Grams,184,9996.69,0,0,194.66,9996.69,194.66
1/8/2019,Concentrate,Each,3,324.08,5,324.08,0,0,5
10/27/2020,Kief,Grams,17,511.98,0,0,22,511.98,22
10/15/2020,Shake/Trim (by strain),Grams,117,1937.06,0,0,188,1937.06,188
3/9/2021,Concentrate (Each),Each,1140,60683.77,1447,60683.77,0,0,1447
2/5/2020,Buds,Grams,4303,217284.34,0,0,20110.1,217284.34,20110.1
7/12/2020,Raw Pre-Rolls,Grams,2575,50255.37,0,0,4309.68,50255.37,4309.68
10/24/2021,Infused (non-edible),Each,108,4145.27,140,4145.27,0,0,140
9/6/2021,Infused Pre-Rolls,Grams,125,4495.15,0,0,199.6,4495.15,199.6
9/4/2020,Shake/Trim (by strain),Grams,129,5606.48,0,0,927,5606.48,927
5/1/2020,Raw Pre-Rolls,Grams,4815,102897.23,0,0,9188.04,102897.23,9188.04
11/7/2019,Raw Pre-Rolls,Grams,2241,39875.44,0,0,3404.74,39875.44,3404.74
10/14/2019,Infused Pre-Rolls,Grams,3,118.25,0,0,10.92,118.25,10.92
1/3/2019,Infused (edible),Each,151,6950.92,361,6950.92,0,0,361
9/23/2022,Infused Beverage,Each,479,8625.49,1080,8625.49,0,0,1080
12/2/2021,Concentrate,Grams,60,3522.5,0,0,78,3522.5,78
3/13/2021,Concentrate,Grams,143,8293.63,0,0,157.08,8293.63,157.08
10/7/2021,Concentrate,Grams,31,2045.61,0,0,50,2045.61,50
6/20/2022,Shake/Trim,Grams,6,261.4,0,0,56.3,261.4,56.3
8/11/2019,Raw Pre-Rolls,Grams,1643,30368.64,0,0,2961.55,30368.64,2961.55
8/11/2022,Shake/Trim (by strain),Grams,290,13151.28,0,0,2916.7,13151.28,2916.7
10/30/2019,Infused (non-edible),Each,126,5572.74,172,5572.74,0,0,172
3/3/2021,Buds,Grams,8180,433694.44,0,0,40227.09,433694.44,40227.09
4/12/2020,Concentrate (Each),Each,512,27411.24,660,27411.24,0,0,660
1/27/2019,Infused (edible),Each,161,7316.65,339,7316.65,0,0,339
9/1/2020,Raw Pre-Rolls,Grams,4274,84231.89,0,0,7370.68,84231.89,7370.68
7/11/2019,Buds,Each,19,655.05,19,655.05,0,0,19
12/22/2020,Buds,Grams,9129,497326.71,0,0,46216.64,497326.71,46216.64
11/6/2019,Suppository,Each,1,34,2,34,0,0,2
5/2/2021,Shake/Trim (by strain),Grams,160,6659.32,0,0,1109.25,6659.32,1109.25
2/15/2022,Concentrate,Grams,26,1441.92,0,0,32.5,1441.92,32.5
6/10/2020,Concentrate (Each),Each,1170,64661.33,1511,64661.33,0,0,1511
5/5/2019,Concentrate,Each,2,87,2,87,0,0,2
12/28/2019,Raw Pre-Rolls,Grams,2526,49599.4,0,0,4536.06,49599.4,4536.06
